0,1,2,key
63524,309720,589796,30000000000_3_2_AC1
87521,426727,812611,30000000000_3_2_CV1
68664,334783,624990,30000000000_3_2_GYR
156876,764877,1399990,30000000000_3_2_CTR
158672,773636,1399990,30000000000_3_2_CTB
88500,431500,821700,30000000000_3_2_VRY
178473,613278,1314359,30000000000_3_3_SMG
76089,261460,560353,30000000000_3_3_AC1
105030,360911,773493,30000000000_3_3_CV1
82074,282028,604434,30000000000_3_3_GYR
187813,645373,1383144,30000000000_3_3_CTR
189964,652764,1398985,30000000000_3_3_CTB
105900,363900,779900,30000000000_3_3_VRY
153214,621272,1214594,30000000000_3_4_SMG
65320,264868,517820,30000000000_3_4_AC1
90038,365097,713769,30000000000_3_4_CV1
70571,286158,559443,30000000000_3_4_GYR
161232,653784,1278156,30000000000_3_4_CTR
163078,661271,1292793,30000000000_3_4_CTB
91000,369000,721400,30000000000_3_4_VRY
151526,611155,1251267,30000000000_3_5_SMG
64633,260683,533718,30000000000_3_5_AC1
89090,359328,735682,30000000000_3_5_CV1
69389,279866,572992,30000000000_3_5_GYR
159452,643121,1316714,30000000000_3_5_CTR
161452,651187,1333228,30000000000_3_5_CTB
90000,363000,743200,30000000000_3_5_VRY
134858,586065,1216913,30000000000_4_1_SMG
57606,250345,519819,30000000000_4_1_AC1
79251,344407,715132,30000000000_4_1_CV1
61984,269368,559318,30000000000_4_1_GYR
141915,616735,1280596,30000000000_4_1_CTR
143540,623798,1295262,30000000000_4_1_CTB
80100,348100,722801,30000000000_4_1_VRY
131656,667030,1195839,30000000000_4_2_SMG
53814,272644,488791,30000000000_4_2_AC1
77407,392180,703093,30000000000_4_2_CV1
60257,305288,547315,30000000000_4_2_GYR
138618,702307,1259082,30000000000_4_2_CTR
140206,710350,1273501,30000000000_4_2_CTB
78201,396200,710300,30000000000_4_2_VRY
83886,661652,1164292,30000000000_4_3_SMG
35728,281801,495878,30000000000_4_3_AC1
49320,389007,684525,30000000000_4_3_CV1
38536,303955,534862,30000000000_4_3_GYR
88227,695893,1224545,30000000000_4_3_CTR
89237,703858,1238560,30000000000_4_3_CTB
49800,392800,691200,30000000000_4_3_VRY
149748,618025,1161091,30000000000_4_4_SMG
63999,264129,496223,30000000000_4_4_AC1
88001,363189,682327,30000000000_4_4_CV1
68865,284211,533950,30000000000_4_4_GYR
157498,650008,1221179,30000000000_4_4_CTR
159389,657815,1235846,30000000000_4_4_CTB
88900,366900,689300,30000000000_4_4_VRY
169372,654735,1215262,30000000000_4_5_SMG
72209,279135,518105,30000000000_4_5_AC1
99533,384762,714161,30000000000_4_5_CV1
77562,299826,556511,30000000000_4_5_GYR
178236,688999,1278859,30000000000_4_5_CTR
180277,696889,1293505,30000000000_4_5_CTB
100500,388500,721101,30000000000_4_5_VRY
205071,664711,1169305,30000000000_5_1_SMG
87599,283939,499482,30000000000_5_1_AC1
120508,390612,687132,30000000000_5_1_CV1
94504,306322,538857,30000000000_5_1_GYR
215684,699112,1229820,30000000000_5_1_CTR
218267,707484,1244548,30000000000_5_1_CTB
121800,394800,694500,30000000000_5_1_VRY
123973,550128,1180096,30000000000_5_2_SMG
52906,234770,503613,30000000000_5_2_AC1
72892,323458,693858,30000000000_5_2_CV1
57101,253386,543545,30000000000_5_2_GYR
130385,578583,1241136,30000000000_5_2_CTR
132024,585855,1256737,30000000000_5_2_CTB
73600,326600,700601,30000000000_5_2_VRY
135000,579322,1221984,30000000000_5_3_SMG
