id,indices,key,state
GYR_00000000001_@2@3@water,48323#303662#574959#794124#1101594,GYR,water
CTB_00000000001_@2@3@water,110935#697114#1319929#1823067#2528924,CTB,water
CTR_00000000001_@2@3@water,110000#691240#1308808#1807706#2507616,CTR,water
CV1_00000000001_@2@3@water,61237#384811#728609#1006344#1395982,CV1,water
VRY_00000000001_@2@3@water,61969#389410#737316#1018370#1412664,VRY,water
PRS_00000000001_@2@3@water,2271#14271#27021#37321#51771,PRS,water
SMG_00000000001_@2@3@water,104257#655148#1240470#1713318#2376683,SMG,water
WTF_00000000001_@2@3@water,2271#14271#27021#37321#51771,WTF,water
AC1_00000000001_@2@4@air,24782#224937#407790,AC1,air
GYR_00000000001_@2@4@air,26383#239473#434143,GYR,air
CTB_00000000001_@2@4@air,60657#550578#998147,CTB,air
CTR_00000000001_@2@4@air,60036#544940#987925,CTR,air
CV1_00000000001_@2@4@air,33417#303320#549891,CV1,air
VRY_00000000001_@2@4@air,33800#306800#556200,VRY,air
SMG_00000000001_@2@4@air,56963#517045#937355,SMG,air
AC1_00000000001_@2@4@water,23073#273638#542245#826888#1042374,AC1,water
GYR_00000000001_@2@4@water,24512#290707#576069#878467#1107395,GYR,water
CTB_00000000001_@2@4@water,56195#666469#1320682#2013954#2538789,CTB,water
CTR_00000000001_@2@4@water,55736#661031#1309907#1997521#2518075,CTR,water
CV1_00000000001_@2@4@water,30602#367619#728900#1111751#1401585,CV1,water
VRY_00000000001_@2@4@water,31403#372440#738032#1125450#1418742,VRY,water
PRS_00000000001_@2@4@water,1151#13651#27051#41251#52001,PRS,water
SMG_00000000001_@2@4@water,52819#626429#1241340#1892962#2386268,SMG,water
WTF_00000000001_@2@4@water,1151#13651#27051#41251#52001,WTF,water
AC1_00000000001_@2@5@air,36906#280264#416047,AC1,air
GYR_00000000001_@2@5@air,39306#298487#443099,GYR,air
CTB_00000000001_@2@5@air,90535#687525#1020621,CTB,air
CTR_00000000001_@2@5@air,88799#679424#1008969,CTR,air
CV1_00000000001_@2@5@air,49943#379269#563018,CV1,air
VRY_00000000001_@2@5@air,50500#383500#569300,VRY,air
SMG_00000000001_@2@5@air,85142#646568#959820,SMG,air
AC1_00000000001_@2@5@water,37566#353792#567620#808554#1058523,AC1,water
GYR_00000000001_@2@5@water,39850#375304#602135#857719#1122887,GYR,water
CTB_00000000001_@2@5@water,90677#860138#1380441#1966697#2574939,CTB,water
CTR_00000000001_@2@5@water,90614#853392#1369175#1950340#2553298,CTR,water
CV1_00000000001_@2@5@water,50038#474648#761765#1085277#1420922,CV1,water
VRY_00000000001_@2@5@water,50632#480280#770805#1098156#1437783,VRY,water
PRS_00000000001_@2@5@water,1871#17621#28271#40271#52721,PRS,water
SMG_00000000001_@2@5@water,85208#808263#1297186#1848086#2419644,SMG,water
WTF_00000000001_@2@5@water,1871#17621#28271#40271#52721,WTF,water
AC1_00000000001_@3@1@air,33921#213109#407709,AC1,air
GYR_00000000001_@3@1@air,35969#225976#432325,GYR,air
CTB_00000000001_@3@1@air,82404#517707#990451,CTB,air
CTR_00000000001_@3@1@air,81865#514325#983980,CTR,air
CV1_00000000001_@3@1@air,45138#285722#546998,CV1,air
VRY_00000000001_@3@1@air,46000#289000#552900,VRY,air
SMG_00000000001_@3@1@air,77347#485938#929672,SMG,air
AC1_00000000001_@3@1@water,12430#268280#501970#756812#1004603,AC1,water
GYR_00000000001_@3@1@water,13143#283671#530767#800230#1062237,GYR,water
CTB_00000000001_@3@1@water,30164#651043#1218144#1836578#2437902,CTB,water
CTR_00000000001_@3@1@water,29919#645748#1208237#1821642#2418074,CTR,water
CV1_00000000001_@3@1@water,16671#359804#673217#1014999#1347324,CV1,water
VRY_00000000001_@3@1@water,16835#363347#679847#1024995#1360593,VRY,water
PRS_00000000001_@3@1@water,617#13317#24918#37568#49867,PRS,water
SMG_00000000001_@3@1@water,28326#611364#1143903#1724645#2289320,SMG,water
WTF_00000000001_@3@1@water,617#13317#24918#37568#49867,WTF,water
AC1_00000000001_@3@2@air,41120#215880#406793,AC1,air
GYR_00000000001_@3@2@air,43565#228713#430975,GYR,air
CTB_00000000001_@3@2@air,100351#526839#992751,CTB,air
CTR_00000000001_@3@2@air,99465#522187#983984,CTR,air
CV1_00000000001_@3@2@air,54569#290162#547532,CV1,air
VRY_00000000001_@3@2@air,56000#294000#554001,VRY,air
SMG_00000000001_@3@2@air,94228#494694#932177,SMG,air
AC1_00000000001_@3@2@water,17788#268297#507741#761269#998699,AC1,water
GYR_00000000001_@3@2@water,18808#283684#536859#804927#1055975,GYR,water
CTB_00000000001_@3@2@water,43182#651340#1232632#1848117#2424524,CTB,water
CTR_00000000001_@3@2@water,42807#645681#1221923#1832061#2403460,CTR,water
CV1_00000000001_@3@2@water,23843#359631#680585#1020419#1338676,CV1,water
VRY_00000000001_@3@2@water,24089#363346#687616#1030960#1352505,VRY,water
PRS_00000000001_@3@2@water,884#13334#25234#37834#49635,PRS,water
SMG_00000000001_@3@2@water,40600#612398#1158936#1737623#2279569,SMG,water
WTF_00000000001_@3@2@water,884#13334#25234#37834#49635,WTF,water
AC1_00000000001_@3@3@air,14484#190295#383613,AC1,air
GYR_00000000001_@3@3@air,15293#200915#405021,GYR,air
CTB_00000000001_@3@3@air,34397#460769#929599,CTB,air
CTR_00000000001_@3@3@air,34825#457530#922329,CTR,air
CV1_00000000001_@3@3@air,18978#254218#512884,CV1,air
VRY_00000000001_@3@3@air,19200#257200#518901,VRY,air
SMG_00000000001_@3@3@air,32374#433667#874921,SMG,air
AC1_00000000001_@3@3@water,27457#366636#595103#850745#1105381,AC1,water
GYR_00000000001_@3@3@water,29012#387405#628815#898939#1167999,GYR,water
CTB_00000000001_@3@3@water,66585#889126#1443181#2063138#2680654,CTB,water
CTR_00000000001_@3@3@water,66050#881991#1431600#2046582#2659142,CTR,water
CV1_00000000001_@3@3@water,36807#491485#797752#1140447#1481793,CV1,water
VRY_00000000001_@3@3@water,37163#496239#805469#1151479#1496128,VRY,water
PRS_00000000001_@3@3@water,1364#18214#29564#42264#54914,PRS,water
SMG_00000000001_@3@3@water,62637#836404#1357607#1940803#2521703,SMG,water
WTF_00000000001_@3@3@water,1364#18212#29560#42259#54907,WTF,water
AC1_00000000001_@3@4@air,25419#201279#396277,AC1,air
GYR_00000000001_@3@4@air,26883#212871#419098,GYR,air
CTB_00000000001_@3@4@air,61627#488000#960771,CTB,air
CTR_00000000001_@3@4@air,61218#484760#954392,CTR,air
CV1_00000000001_@3@4@air,34083#269884#531346,CV1,air
VRY_00000000001_@3@4@air,34400#272400#536300,VRY,air
SMG_00000000001_@3@4@air,58035#459554#904767,SMG,air
AC1_00000000001_@3@4@water,15663#255235#497827#752498#997103,AC1,water
GYR_00000000001_@3@4@water,16573#270062#526747#796212#1055027,GYR,water
CTB_00000000001_@3@4@water,38021#619570#1208450#1826651#2420418,CTB,water
CTR_00000000001_@3@4@water,37726#614763#1199074#1812478#2401638,CTR,water
CV1_00000000001_@3@4@water,20614#342086#667611#1009344#1337571,CV1,water
VRY_00000000001_@3@4@water,20820#345504#674282#1019430#1350935,VRY,water
PRS_00000000001_@3@4@water,778#12678#24728#37378#49528,PRS,water
SMG_00000000001_@3@4@water,35761#582742#1136617#1718072#2276544,SMG,water
WTF_00000000001_@3@4@water,778#12678#24728#37378#49528,WTF,water
